COc1ccccc1COc1cccc(B(O)O)c1 ZINC000169903748
OB(O)c1cccc(OCc2ccc(F)cc2)c1 ZINC000169903750
CCOc1cc(C=O)cc(B(O)O)c1 ZINC000169903754
COc1nccc(B(O)O)c1Br ZINC000169903788
COc1ccc(B(O)O)cc1OC(C)C ZINC000169903934
CC1(C)OB(c2cccc(OCCOc3cccc(B4OC(C)(C)C(C)(C)O4)c3)c2)OC1(C)C ZINC000169903937
COc1cc(B(O)O)ccc1OC1CCN(C(=O)OC(C)(C)C)CC1 ZINC000169903945
OB(O)c1cccc(OCCN2CCOCC2)c1 ZINC000169904027
CCOc1cc(B(O)O)ccn1 ZINC000169904087
CC1(C)OB(c2cccc(OCCN3CCOCC3)c2)OC1(C)C ZINC000169904294
CC1(C)OB(c2cc(OC(F)(F)F)cc(O[Si](C)(C)C(C)(C)C)c2)OC1(C)C ZINC000169904324
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(C)n1 ZINC000169904502
COc1cc(C#N)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169904505
COC(=O)c1cc(OC)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169904508
COC(=O)c1cc2c(c(B3OC(C)(C)C(C)(C)O3)c1)OC(F)(F)O2 ZINC000169904511
COC(=O)Cc1cc2c(c(B3OC(C)(C)C(C)(C)O3)c1)OCO2 ZINC000169904558
OB(O)c1ccc2c(c1F)OCO2 ZINC000169904633
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(OC)n1 ZINC000169904647
Cc1cc(OC(F)(F)F)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169904656
COC(=O)c1cc(OC(F)(F)F)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169904699
COc1cc(B2OC(C)(C)C(C)(C)O2)cc(C(F)(F)F)n1 ZINC000169904732
COc1cc(B(O)O)cc(C(=O)O)c1 ZINC000169904758
CCOc1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905020
CCCOc1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905023
CC(C)COc1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905027
CC1(C)OB(c2cc(Cl)cc(OCC3CC3)c2)OC1(C)C ZINC000169905030
CCCCOc1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905035
CCOC(=O)COc1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905043
CCOC(=O)COc1cc(Br)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905050
CCOc1cc(B2OC(C)(C)C(C)(C)O2)cc(C(=O)OC)c1 ZINC000169905054
COC(=O)c1cc(OC(C)C)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905060
COC(=O)c1cc(OCC(C)C)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905062
COC(=O)c1cc(OCC2CC2)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905065
CCCCOc1cc(B2OC(C)(C)C(C)(C)O2)cc(C(=O)OC)c1 ZINC000169905069
CCOc1cc(C)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905075
CCCOc1cc(C)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905079
Cc1cc(OC(C)C)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905081
Cc1cc(OCC(C)C)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905085
CCCCOc1cc(C)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905091
CC(C)Oc1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1 ZINC000169905192
COc1ccc(B(O)O)cc1OCC(C)C ZINC000169905211
COc1cc(B(O)O)ccc1C(F)(F)F ZINC000169906104
O=COc1cccc(B(O)O)c1 ZINC000169916865
OB(O)c1cccc(OCCN2CCCCC2)c1 ZINC000169920224
CC(C)CCOc1cccc(B(O)O)c1 ZINC000169922488
OB(O)c1cccc(OCc2ccccn2)c1 ZINC000169922491
OB(O)c1cccc(OCCc2ccccc2)c1 ZINC000169922494
OB(O)c1cccc(OC[C@@H]2CCCO2)c1 ZINC000169922497
OB(O)c1cccc(OC[C@H]2CCCO2)c1 ZINC000169922499
COCCOc1cccc(B(O)O)c1 ZINC000169922502
N#Cc1ccc(COc2cccc(B(O)O)c2)cc1 ZINC000169922506
OB(O)c1cccc(OCC2CCCCC2)c1 ZINC000169922509
OB(O)c1cccc(OCc2ccc(F)cc2Cl)c1 ZINC000169922512
N#Cc1ccccc1COc1cccc(B(O)O)c1 ZINC000169922515
OB(O)c1cccc(OCc2ccc(Cl)cc2Cl)c1 ZINC000169922518
CCCCCOc1cccc(B(O)O)c1 ZINC000169922521
C=CCOc1cccc(B(O)O)c1 ZINC000169922525
OB(O)c1cccc(OCc2ccc(Cl)c(Cl)c2)c1 ZINC000169922527
OB(O)c1cccc(OCc2c(Cl)cccc2Cl)c1 ZINC000169922530
OB(O)c1cccc(OC2CCCCC2)c1 ZINC000169922533
OB(O)c1cccc(OCC2CCOCC2)c1 ZINC000169922629
OB(O)c1cccc(OCc2cccc(F)c2F)c1 ZINC000169924046
OB(O)c1cccc(OC[C@@H]2CCCCO2)c1 ZINC000169924424
OB(O)c1cccc(OC[C@H]2CCCCO2)c1 ZINC000169924427
CCCOCCOc1cccc(B(O)O)c1 ZINC000169926356
CC(C)Oc1cc(B(O)O)cc(C(F)(F)F)c1 ZINC000169933768
CCCCOc1cc(B(O)O)cc(C(F)(F)F)c1 ZINC000169933781
CCCOc1cc(B(O)O)cc(C(F)(F)F)c1 ZINC000169933789
CC(C)COc1cc(Cl)cc(B(O)O)c1 ZINC000169933793
CCCOc1cccc(B(O)O)c1Cl ZINC000169933812
CCOc1cccc(B(O)O)c1Cl ZINC000169933849
CCCCOc1cccc(B(O)O)c1Cl ZINC000169933855
COc1cc(B(O)O)ccc1Br ZINC000169933859
CCOc1cc(Cl)cc(B(O)O)c1 ZINC000169933951
CCCOc1cc(Cl)cc(B(O)O)c1 ZINC000169933955
CCCCOc1cc(Cl)cc(B(O)O)c1 ZINC000169933964
CCCCOc1cc(B(O)O)ccc1OC ZINC000169933981
Cc1cc(OC(C)C)cc(B(O)O)c1 ZINC000169933986
Cc1cc(OCC(C)C)cc(B(O)O)c1 ZINC000169933989
Cc1cc(OCC2CC2)cc(B(O)O)c1 ZINC000169933992
CCCCOc1cc(C)cc(B(O)O)c1 ZINC000169934001
CCCOc1cc(B(O)O)ccc1OC ZINC000169934021
